date,close,support,resistance,atr14,buffer,support_hit_h1,support_d2h_h1,resist_hit_h1,resist_d2h_h1,support_hit_h3,support_d2h_h3,resist_hit_h3,resist_d2h_h3,support_hit_h5,support_d2h_h5,resist_hit_h5,resist_d2h_h5
1970-01-01 00:00:00.000002311,41940.3,35360.0,44700.0,1545.4730353775035,83.8806,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002312,42278.03,35500.0,44700.0,1515.0413899933963,84.55606,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002313,41374.65,35632.01,44700.0,1490.5434335652965,82.7493,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002314,42657.8,35632.01,44700.0,1542.2817597392038,85.3156,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002315,42275.99,35632.01,44700.0,1552.540205472118,84.55198,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002316,43668.93,35632.01,44700.0,1590.001619366967,87.33786,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002317,43861.8,35632.01,44700.0,1544.689360840755,87.7236,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002318,43969.04,35632.01,44700.0,1504.7629779235583,87.93808,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002319,43702.16,36707.0,44700.0,1447.1070509290187,87.40432000000001,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002320,42991.5,36707.0,44700.0,1447.0279758626602,85.983,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002321,43576.13,36707.0,44700.0,1420.9466918724702,87.15226,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002322,42508.93,36707.0,44700.0,1459.0990710244369,85.01786,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002323,43428.85,36707.0,44700.0,1467.6141373798341,86.8577,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002324,42563.76,36868.41,44700.0,1473.1974132812745,85.12752,0,,0,,0,,0,,0,,1,5.0
1970-01-01 00:00:00.000002325,42066.95,37500.0,44700.0,1497.3261694754692,84.1339,0,,0,,0,,0,,0,,1,4.0
