date,close,trend_pred,real_trend,hit
2426,71620.0,SIDE,DOWN,0
2427,69146.0,SIDE,UP,0
2428,70631.08,SIDE,DOWN,0
2429,70006.23,UP,DOWN,0
2430,67116.52,UP,DOWN,0
2431,63924.51,UP,UP,1
2432,65661.84,UP,DOWN,0
2433,63419.99,UP,UP,1
2434,63793.39,SIDE,DOWN,0
2435,61277.37,SIDE,UP,0
2436,63470.08,SIDE,UP,0
2437,63818.01,SIDE,UP,0
2438,64940.59,SIDE,UP,0
2439,64941.15,SIDE,UP,0
2440,66819.32,SIDE,DOWN,0
2441,66414.0,SIDE,DOWN,0
2442,64289.59,SIDE,UP,0
2443,64498.34,DOWN,DOWN,1
2444,63770.01,DOWN,DOWN,1
2445,63461.98,DOWN,DOWN,1
2446,63118.62,DOWN,UP,0
2447,63866.0,DOWN,DOWN,1
2448,60672.0,DOWN,DOWN,1
2449,58364.97,DOWN,UP,0
2450,59060.61,DOWN,UP,0
2451,62882.01,DOWN,UP,0
2452,63892.04,DOWN,UP,0
2453,64012.0,DOWN,DOWN,1
2454,63165.19,DOWN,DOWN,1
2455,62312.08,DOWN,DOWN,1
2456,61193.03,DOWN,UP,0
2457,63074.01,DOWN,DOWN,1
2458,60799.99,DOWN,UP,0
2459,60825.99,DOWN,UP,0
2460,61483.99,DOWN,UP,0
2461,62940.08,SIDE,DOWN,0
2462,61577.49,SIDE,UP,0
2463,66206.5,SIDE,DOWN,0
2464,65235.21,SIDE,UP,0
2465,67024.0,SIDE,DOWN,0
2466,66915.2,SIDE,DOWN,0
2467,66274.01,SIDE,UP,0
2468,71446.62,SIDE,DOWN,0
2469,70148.34,SIDE,DOWN,0
2470,69166.62,SIDE,DOWN,0
2471,67969.65,SIDE,UP,0
2472,68549.99,UP,UP,1
2473,69290.57,UP,DOWN,0
2474,68507.67,UP,UP,1
2475,69436.43,UP,DOWN,0
2476,68398.39,UP,DOWN,0
2477,67652.42,UP,UP,1
2478,68352.17,SIDE,DOWN,0
2479,67540.01,SIDE,UP,0
2480,67766.85,SIDE,DOWN,0
2481,67765.63,SIDE,UP,0
2482,68809.9,SIDE,UP,0
2483,70537.84,SIDE,UP,0
2484,71108.0,SIDE,DOWN,0
2485,70799.06,SIDE,DOWN,0
2486,69355.6,SIDE,DOWN,0
2487,69310.46,SIDE,UP,0
2488,69648.14,SIDE,DOWN,0
2489,69540.0,UP,DOWN,0
2490,67314.24,UP,UP,1
2491,68263.99,UP,DOWN,0
2492,66773.01,SIDE,DOWN,0
2493,66043.99,DOWN,UP,0
2494,66228.25,DOWN,UP,0
2495,66676.87,DOWN,DOWN,1
2496,66504.33,DOWN,DOWN,1
2497,65175.32,DOWN,DOWN,1
2498,64974.37,DOWN,DOWN,1
2499,64869.99,DOWN,DOWN,1
2500,64143.56,DOWN,UP,0
2501,64262.01,DOWN,DOWN,1
2502,63210.01,DOWN,DOWN,1
2503,60293.3,DOWN,UP,0
2504,61806.01,DOWN,DOWN,1
2505,60864.99,DOWN,UP,0
2506,61706.47,DOWN,DOWN,1
2507,60427.84,DOWN,UP,0
2508,60986.68,DOWN,UP,0
2509,62772.01,DOWN,UP,0
2510,62899.99,DOWN,DOWN,1
2511,62135.47,DOWN,DOWN,1
2512,60208.58,DOWN,DOWN,1
2513,57050.01,DOWN,DOWN,1
2514,56628.79,DOWN,UP,0
2515,58230.13,DOWN,DOWN,1
2516,55857.81,DOWN,UP,0
2517,56714.62,DOWN,UP,0
2518,58050.0,DOWN,DOWN,1
2519,57725.85,DOWN,DOWN,1
2520,57339.89,DOWN,UP,0
2521,57889.1,DOWN,UP,0
2522,59204.02,DOWN,UP,0
2523,60797.91,DOWN,UP,0
2524,64724.14,DOWN,UP,0
2525,65043.99,DOWN,DOWN,1
2526,64087.99,DOWN,DOWN,1
2527,63987.92,DOWN,UP,0
2528,66660.0,DOWN,UP,0
2529,67139.96,DOWN,UP,0
2530,68165.34,DOWN,DOWN,1
2531,67532.01,DOWN,DOWN,1
2532,65936.01,DOWN,DOWN,1
2533,65376.0,DOWN,UP,0
2534,65799.95,SIDE,UP,0
2535,67907.99,SIDE,DOWN,0
2536,67896.5,SIDE,UP,0
2537,68249.88,UP,DOWN,0
2538,66784.69,UP,DOWN,0
2539,66188.0,UP,DOWN,0
2540,64628.0,UP,UP,1
2541,65354.02,UP,DOWN,0
2542,61498.33,UP,DOWN,0
2543,60697.99,UP,DOWN,0
2544,58161.0,UP,DOWN,0
2545,54018.81,UP,UP,1
2546,56022.01,UP,DOWN,0
2547,55134.16,UP,UP,1
2548,61685.99,SIDE,DOWN,0
2549,60837.99,SIDE,UP,0
2550,60923.51,SIDE,DOWN,0
2551,58712.59,DOWN,UP,0
2552,59346.64,DOWN,UP,0
2553,60587.15,DOWN,DOWN,1
2554,58683.39,DOWN,DOWN,1
2555,57541.06,SIDE,UP,0
2556,58874.6,SIDE,UP,0
2557,59491.99,SIDE,DOWN,0
2558,58427.35,DOWN,UP,0
2559,59438.5,DOWN,DOWN,1
2560,59013.8,DOWN,UP,0
2561,61156.03,DOWN,DOWN,1
2562,60375.84,DOWN,UP,0
2563,64037.24,DOWN,UP,0
2564,64157.01,DOWN,UP,0
2565,64220.0,DOWN,DOWN,1
2566,62834.0,DOWN,DOWN,1
2567,59415.0,DOWN,DOWN,1
2568,59034.9,SIDE,UP,0
2569,59359.01,SIDE,DOWN,0
2570,59123.99,SIDE,DOWN,0
2571,58973.99,SIDE,DOWN,0
2572,57301.86,SIDE,UP,0
2573,59132.13,SIDE,DOWN,0
2574,57487.73,SIDE,UP,0
2575,57970.9,SIDE,DOWN,0
2576,56180.0,SIDE,DOWN,0
2577,53962.97,SIDE,UP,0
2578,54160.86,SIDE,UP,0
2579,54869.95,SIDE,UP,0
2580,57042.0,SIDE,UP,0
2581,57635.99,SIDE,DOWN,0
2582,57338.0,SIDE,UP,0
2583,58132.32,DOWN,UP,0
2584,60498.0,DOWN,DOWN,1
2585,59993.03,DOWN,DOWN,1
2586,59132.0,DOWN,DOWN,1
2587,58213.99,DOWN,UP,0
2588,60313.99,DOWN,UP,0
2589,61759.99,DOWN,UP,0
